Replicate,Heterogeneity model,Tree length,LnL gamma rates,LnL free rates,LnL phyloRNN rates,LnL true rates
300,Bimodal_autocorrelated,0.787,-6293.020,-6292.530,-6233.705,-6281.643
301,mixed_model_mixed_model,1.370,-5864.470,-5724.430,-5903.021,-6176.993
302,Bimodal_uncorrelated,0.973,-7255.080,-7254.200,-7177.551,-7110.989
303,Spike-and-slab_uncorrelated,0.046,-1758.810,-1758.390,-1737.058,-1749.042
304,Spike-and-slab_autocorrelated,0.147,-2393.130,-2392.910,-2375.020,-2390.057
305,Bimodal_autocorrelated,5.457,-23403.350,-23398.540,-23020.775,-22998.760
306,GBM_autocorrelated,0.026,-1709.160,-1708.180,-1693.196,-1701.669
307,Bimodal_uncorrelated,8.951,-30632.210,-31628.730,-31583.913,-31629.729
308,Spike-and-slab_uncorrelated,0.371,-4082.650,-4069.440,-3981.192,-4028.971
309,GBM_autocorrelated,0.764,-5890.030,-5888.150,-5724.002,-5876.239
310,Gamma_autocorrelated,0.024,-1542.030,-1541.890,-1533.162,-1522.135
311,Gamma_autocorrelated,3.140,-11810.260,-11786.800,-11119.783,-11115.409
312,Gamma_autocorrelated,20.295,-26884.160,-26905.290,-25695.719,-25513.067
313,GBM_autocorrelated,3.038,-14503.560,-14398.050,-13806.300,-13842.619
314,Spike-and-slab_autocorrelated,6.903,-28058.310,-28058.130,-28020.277,-28038.876
315,Spike-and-slab_autocorrelated,4.081,-18963.450,-18963.010,-18903.400,-18946.592
316,Spike-and-slab_autocorrelated,0.019,-1494.150,-1494.130,-1484.792,-1494.256
317,Spike-and-slab_autocorrelated,13.902,-41295.300,-41294.470,-41242.930,-41254.884
318,Spike-and-slab_uncorrelated,1.802,-10839.590,-10760.160,-10615.276,-10674.612
319,Gamma_autocorrelated,0.406,-4084.620,-4078.860,-3783.741,-3788.672
320,Spike-and-slab_autocorrelated,3.998,-17313.720,-17196.620,-17007.706,-16990.503
321,Gamma_autocorrelated,2.565,-10217.990,-10129.480,-9507.852,-9470.386
322,Bimodal_autocorrelated,1.929,-10757.490,-10671.480,-10111.671,-10074.324
323,Bimodal_autocorrelated,0.025,-1669.430,-1669.140,-1655.710,-1658.076
324,GBM_uncorrelated,2.021,-11809.600,-11808.500,-11509.385,-11557.879
325,Gamma_uncorrelated,10.170,-25250.690,-25186.870,-24309.830,-23992.568
326,Codon_uncorrelated,0.784,-6450.430,-6449.220,-6264.470,-6295.848
327,Gamma_autocorrelated,0.245,-3022.820,-2993.340,-2740.243,-2754.051
328,GBM_autocorrelated,7.755,-29679.560,-29679.440,-29581.417,-29602.809
329,Bimodal_autocorrelated,1.144,-8303.190,-8303.060,-8281.448,-8302.704
330,GBM_autocorrelated,0.210,-3044.420,-3044.100,-3011.704,-3019.668
331,Bimodal_uncorrelated,0.059,-1873.090,-1872.960,-1842.561,-1866.340
332,GBM_uncorrelated,1.733,-9093.940,-9063.640,-8420.911,-8508.109
333,GBM_uncorrelated,12.525,-37530.420,-37522.790,-37505.945,-37137.159
334,GBM_uncorrelated,9.644,-22947.120,-22832.120,-21907.497,-21610.143
335,Codon_uncorrelated,0.478,-4622.130,-4621.470,-4524.756,-4550.106
336,Bimodal_autocorrelated,16.697,-44948.050,-44947.020,-44878.403,-44671.862
337,Spike-and-slab_uncorrelated,16.936,-41253.750,-41210.000,-41188.699,-40967.358
338,Gamma_uncorrelated,0.892,-6486.960,-6455.250,-5957.080,-6021.051
339,Spike-and-slab_autocorrelated,15.841,-41688.050,-41686.620,-41525.226,-41545.399
340,Bimodal_autocorrelated,9.054,-28813.730,-28687.600,-27990.930,-28036.477
341,Bimodal_uncorrelated,0.044,-1585.960,-1585.040,-1570.112,-1581.370
342,Bimodal_autocorrelated,4.155,-17701.870,-17562.720,-16786.948,-16832.394
343,Spike-and-slab_uncorrelated,0.989,-7019.320,-6949.650,-6674.696,-6834.734
344,GBM_uncorrelated,0.067,-2013.050,-2012.860,-1941.336,-1931.255
345,Gamma_autocorrelated,1.541,-9216.130,-9192.750,-8624.370,-8646.796
346,Gamma_autocorrelated,0.030,-1671.940,-1671.920,-1652.524,-1661.632
347,Spike-and-slab_uncorrelated,1.540,-9910.330,-9816.130,-9662.531,-9678.780
348,GBM_uncorrelated,10.705,-19958.800,-19767.750,-18838.980,-18617.976
349,Spike-and-slab_autocorrelated,0.119,-2147.000,-2146.650,-2045.263,-2086.412
350,Spike-and-slab_autocorrelated,0.306,-3523.780,-3523.420,-3389.232,-3491.128
351,Gamma_uncorrelated,0.402,-3663.020,-3660.430,-3465.863,-3497.555
352,Bimodal_autocorrelated,0.328,-3607.190,-3605.210,-3515.098,-3542.784
353,Bimodal_autocorrelated,0.060,-1970.810,-1970.600,-1946.775,-1965.407
354,GBM_autocorrelated,7.057,-27946.510,-27945.510,-27837.728,-27826.470
355,Spike-and-slab_autocorrelated,16.554,-36235.970,-35681.720,-35711.373,-35352.336
356,GBM_autocorrelated,0.061,-1878.040,-1876.830,-1840.879,-1870.872
357,Codon_uncorrelated,0.228,-2757.350,-2756.260,-2677.237,-2683.851
358,GBM_autocorrelated,2.115,-12384.470,-12384.460,-12345.092,-12382.440
359,Bimodal_autocorrelated,0.255,-3265.480,-3265.340,-3134.646,-3162.765
360,Bimodal_autocorrelated,0.391,-4229.140,-4225.670,-3999.696,-3965.037
361,Gamma_uncorrelated,0.377,-3943.990,-3914.120,-3551.757,-3586.122
362,GBM_uncorrelated,0.083,-2026.200,-2025.550,-1969.545,-2016.387
363,GBM_autocorrelated,0.064,-1694.850,-1691.790,-1622.351,-1608.213
364,GBM_autocorrelated,0.190,-2804.850,-2803.300,-2752.436,-2802.319
365,Bimodal_autocorrelated,1.007,-7123.480,-7096.560,-6646.102,-6620.070
366,GBM_uncorrelated,0.062,-1928.790,-1928.760,-1889.673,-1895.526
367,Bimodal_autocorrelated,0.027,-1576.680,-1576.510,-1547.732,-1565.012
368,Spike-and-slab_uncorrelated,0.234,-3173.570,-3173.430,-3100.481,-3150.666
369,Spike-and-slab_autocorrelated,0.042,-1638.330,-1637.910,-1606.926,-1625.328
370,Gamma_uncorrelated,1.495,-8939.530,-8914.680,-8321.048,-8377.011
371,Gamma_uncorrelated,0.143,-2499.850,-2499.160,-2346.837,-2351.013
372,Bimodal_uncorrelated,0.719,-6272.160,-6271.220,-5984.786,-6091.972
373,Gamma_autocorrelated,0.329,-3307.230,-3298.040,-3008.968,-3012.013
374,Gamma_uncorrelated,0.029,-1594.100,-1592.800,-1584.449,-1584.998
375,Spike-and-slab_uncorrelated,0.027,-1598.230,-1594.840,-1585.627,-1585.228
376,Gamma_uncorrelated,0.228,-3033.730,-3033.260,-2919.669,-2955.446
377,Codon_uncorrelated,6.587,-22488.890,-22430.470,-21767.136,-21777.410
378,Codon_uncorrelated,0.511,-4748.620,-4747.780,-4543.420,-4559.432
379,Gamma_uncorrelated,0.022,-1432.840,-1432.840,-1423.553,-1417.935
380,Codon_uncorrelated,19.054,-36664.590,-36565.230,-35838.257,-35654.086
381,Spike-and-slab_uncorrelated,0.572,-4976.500,-4970.360,-4899.182,-4954.006
382,Gamma_uncorrelated,0.589,-4582.110,-4475.390,-4037.323,-4058.902
383,Spike-and-slab_uncorrelated,0.083,-2086.390,-2086.270,-2016.564,-2079.508
384,Spike-and-slab_uncorrelated,6.304,-24856.190,-24609.180,-24502.792,-24359.813
385,GBM_autocorrelated,13.451,-39487.760,-39486.810,-38924.347,-38917.162
386,Spike-and-slab_uncorrelated,9.333,-30619.840,-30270.620,-30304.727,-30097.367
387,Spike-and-slab_autocorrelated,0.629,-5575.310,-5539.250,-5275.049,-5410.272
388,Gamma_autocorrelated,0.023,-1417.240,-1415.200,-1397.823,-1401.474
389,Bimodal_autocorrelated,0.060,-1443.970,-1441.970,-1429.616,-1443.871
390,Bimodal_uncorrelated,6.095,-21506.340,-21012.710,-20370.518,-20241.283
391,Spike-and-slab_uncorrelated,0.112,-2213.320,-2212.140,-2174.223,-2218.394
392,Bimodal_autocorrelated,0.211,-2791.800,-2791.560,-2724.307,-2743.329
393,Gamma_autocorrelated,0.087,-2013.780,-2013.150,-1980.038,-1982.896
394,GBM_uncorrelated,0.105,-2181.530,-2181.010,-2157.086,-2172.779
395,Gamma_autocorrelated,0.185,-2844.300,-2843.920,-2690.204,-2706.397
396,Spike-and-slab_autocorrelated,0.052,-1821.880,-1821.670,-1779.778,-1822.180
397,GBM_autocorrelated,0.143,-2505.670,-2505.440,-2478.734,-2502.836
398,Bimodal_uncorrelated,0.065,-1879.490,-1879.100,-1853.506,-1861.334
399,GBM_uncorrelated,2.230,-11866.390,-11846.810,-11291.809,-11365.319
400,Spike-and-slab_autocorrelated,5.275,-23004.330,-22953.760,-22860.078,-22847.826
401,Gamma_autocorrelated,0.138,-2588.530,-2586.450,-2383.318,-2463.020
402,Codon_uncorrelated,1.023,-7256.210,-7255.250,-6918.776,-6916.992
403,Spike-and-slab_autocorrelated,0.032,-1594.980,-1594.980,-1571.571,-1596.492
404,Bimodal_uncorrelated,1.538,-10034.070,-10031.330,-9831.845,-9806.756
405,GBM_uncorrelated,0.396,-3836.600,-3819.870,-3457.039,-3566.431
406,GBM_uncorrelated,6.283,-10486.570,-10335.340,-9815.453,-9560.898
407,GBM_autocorrelated,0.140,-2163.890,-2162.310,-2136.800,-2154.121
408,Bimodal_autocorrelated,0.122,-2314.320,-2313.250,-2258.581,-2305.913
409,Spike-and-slab_uncorrelated,2.491,-14648.350,-14630.330,-14510.903,-14560.378
410,Spike-and-slab_uncorrelated,5.270,-22999.050,-22952.600,-23002.911,-22823.888
411,Bimodal_autocorrelated,5.044,-19665.260,-19530.260,-18859.026,-18863.866
412,Gamma_autocorrelated,0.254,-3126.890,-3126.340,-2964.656,-2998.458
413,Bimodal_uncorrelated,0.022,-1530.950,-1528.980,-1512.762,-1521.970
414,Spike-and-slab_autocorrelated,0.030,-1697.850,-1697.810,-1687.385,-1693.916
415,Bimodal_autocorrelated,4.861,-22136.200,-22135.830,-22044.091,-22004.781
416,Bimodal_uncorrelated,1.757,-11037.200,-11036.520,-10916.016,-10939.178
417,Spike-and-slab_autocorrelated,0.036,-1670.620,-1670.500,-1645.277,-1655.135
418,GBM_uncorrelated,5.300,-12633.330,-12236.710,-11645.880,-11565.030
419,mixed_model_mixed_model,0.108,-2262.160,-2261.460,-2228.758,-2270.844
420,Codon_uncorrelated,5.599,-20551.340,-20542.870,-19828.634,-19825.300
421,Gamma_uncorrelated,0.080,-2197.890,-2196.560,-2108.550,-2124.011
422,Bimodal_autocorrelated,12.202,-29508.000,-29068.280,-28422.541,-28376.408
423,Spike-and-slab_uncorrelated,0.074,-1988.440,-1988.350,-1953.606,-1965.556
424,Bimodal_uncorrelated,0.271,-3417.010,-3416.990,-3373.302,-3355.036
425,GBM_uncorrelated,0.757,-6126.060,-6125.500,-6110.795,-6107.081
426,Spike-and-slab_uncorrelated,1.536,-9220.920,-9099.240,-8894.728,-8935.084
427,Gamma_autocorrelated,7.535,-26085.300,-25983.550,-25044.979,-24983.593
428,Bimodal_uncorrelated,0.885,-6932.620,-6932.080,-6814.837,-6846.749
429,Bimodal_uncorrelated,1.382,-8881.930,-8880.680,-8823.449,-8724.142
430,GBM_autocorrelated,1.899,-11568.250,-11566.910,-11432.728,-11443.107
431,Bimodal_uncorrelated,14.554,-36692.100,-36529.470,-36297.669,-35862.304
432,Spike-and-slab_autocorrelated,0.067,-1791.880,-1791.700,-1756.222,-1778.931
433,Gamma_autocorrelated,1.546,-7874.090,-7814.160,-7128.241,-7152.601
434,Bimodal_uncorrelated,7.463,-26064.890,-26028.250,-25541.880,-25484.742
435,Gamma_uncorrelated,0.347,-3604.760,-3595.400,-3306.767,-3370.326
436,Codon_uncorrelated,4.104,-17745.470,-17740.020,-17086.215,-17103.695
437,Codon_uncorrelated,0.418,-4177.590,-4175.870,-4008.341,-4024.801
438,Bimodal_uncorrelated,0.869,-6712.810,-6712.780,-6660.384,-6686.799
439,mixed_model_mixed_model,0.111,-1858.360,-1840.440,-1843.510,-1896.919
440,Bimodal_uncorrelated,0.691,-6028.790,-6020.810,-5751.384,-5646.556
441,Gamma_uncorrelated,0.409,-3524.000,-3508.390,-3394.373,-3291.735
442,Bimodal_uncorrelated,0.619,-5119.620,-5117.910,-5051.517,-5111.410
443,Gamma_autocorrelated,0.112,-2305.900,-2287.640,-2155.811,-2158.837
444,Spike-and-slab_uncorrelated,4.570,-20330.640,-20301.130,-20235.343,-20179.316
445,Spike-and-slab_uncorrelated,2.246,-12540.400,-12539.670,-12496.353,-12518.356
446,Spike-and-slab_uncorrelated,2.081,-11572.450,-11398.960,-10977.803,-11179.719
447,Spike-and-slab_uncorrelated,7.830,-28740.450,-28687.670,-28709.208,-28493.465
448,GBM_autocorrelated,0.412,-4297.250,-4297.090,-4248.935,-4291.454
449,Spike-and-slab_autocorrelated,11.069,-35023.220,-34936.240,-34761.271,-34572.233
450,GBM_uncorrelated,0.043,-1642.530,-1640.240,-1631.097,-1627.620
451,Bimodal_autocorrelated,0.191,-2760.360,-2759.740,-2738.028,-2752.349
452,Bimodal_uncorrelated,1.160,-7813.970,-7806.900,-7367.069,-7428.094
453,Spike-and-slab_uncorrelated,0.485,-4699.000,-4698.720,-4646.376,-4666.341
454,Gamma_autocorrelated,0.115,-2356.880,-2351.290,-2220.417,-2246.377
455,Gamma_autocorrelated,0.045,-1726.020,-1724.540,-1658.225,-1683.307
456,Gamma_uncorrelated,0.032,-1605.480,-1605.480,-1589.462,-1600.528
457,Bimodal_autocorrelated,13.289,-30662.250,-29988.280,-29306.903,-29299.718
458,GBM_autocorrelated,0.146,-2636.110,-2634.020,-2597.799,-2623.852
459,Gamma_uncorrelated,1.102,-7183.160,-7138.120,-6535.922,-6601.188
460,Spike-and-slab_autocorrelated,3.649,-18288.180,-18288.020,-18268.121,-18290.590
461,Spike-and-slab_uncorrelated,5.804,-21767.470,-21733.720,-21717.625,-21571.166
462,Bimodal_autocorrelated,1.088,-7699.560,-7699.540,-7638.570,-7692.194
463,Bimodal_autocorrelated,0.142,-2371.140,-2370.970,-2301.174,-2308.778
464,GBM_uncorrelated,0.793,-6229.770,-6229.550,-6122.728,-6122.071
465,Spike-and-slab_uncorrelated,1.188,-7496.840,-7424.410,-7102.412,-7310.333
466,GBM_uncorrelated,0.037,-1708.270,-1708.160,-1665.065,-1687.104
467,Bimodal_uncorrelated,2.524,-13069.740,-12990.450,-12475.159,-12409.102
468,GBM_autocorrelated,0.024,-1599.880,-1599.740,-1588.983,-1600.818
469,Gamma_autocorrelated,0.852,-5678.080,-5532.220,-5032.680,-5017.030
470,GBM_autocorrelated,11.789,-37485.000,-37484.130,-37389.725,-37397.885
471,GBM_uncorrelated,0.110,-2038.890,-2038.820,-1971.371,-1917.056
472,Spike-and-slab_uncorrelated,5.241,-19692.090,-19683.890,-19564.091,-19467.494
473,Spike-and-slab_autocorrelated,0.026,-1568.910,-1568.650,-1555.397,-1568.290
474,Gamma_autocorrelated,1.293,-6671.580,-6589.110,-6030.316,-6018.341
475,Bimodal_autocorrelated,1.068,-7838.870,-7838.270,-7822.854,-7838.876
476,Bimodal_autocorrelated,0.168,-2651.650,-2651.260,-2607.778,-2542.793
477,Bimodal_uncorrelated,0.239,-3110.340,-3109.740,-3010.077,-3007.554
478,Spike-and-slab_uncorrelated,0.463,-4456.680,-4449.670,-4327.520,-4402.452
479,Spike-and-slab_uncorrelated,11.733,-34166.110,-33722.300,-33998.926,-33428.424
480,GBM_autocorrelated,0.042,-1718.570,-1718.050,-1703.192,-1714.836
481,GBM_autocorrelated,0.052,-1811.310,-1811.050,-1789.330,-1807.782
482,Gamma_uncorrelated,1.878,-10806.600,-10785.230,-10281.123,-10342.576
483,Spike-and-slab_autocorrelated,8.422,-31491.520,-31491.270,-31473.453,-31491.050
484,GBM_uncorrelated,0.234,-2991.040,-2990.800,-2949.091,-2980.085
485,Gamma_autocorrelated,21.021,-30628.160,-30347.480,-29148.957,-29047.810
486,Gamma_uncorrelated,0.203,-2746.300,-2745.850,-2607.967,-2636.765
487,GBM_autocorrelated,0.225,-3220.910,-3220.460,-3147.657,-3209.639
488,Bimodal_uncorrelated,0.224,-3071.060,-3070.890,-3033.157,-3052.192
489,Gamma_autocorrelated,8.626,-28015.750,-27952.150,-26943.674,-26975.525
490,Gamma_uncorrelated,1.202,-8407.360,-8390.030,-7891.833,-7953.293
491,GBM_autocorrelated,0.316,-3505.350,-3505.260,-3487.473,-3505.681
492,Bimodal_autocorrelated,0.744,-6304.320,-6303.510,-6142.358,-6221.558
493,GBM_autocorrelated,0.375,-4084.890,-4084.810,-4039.604,-4063.715
494,Spike-and-slab_uncorrelated,5.974,-23232.470,-22896.700,-22820.926,-22636.206
495,Bimodal_autocorrelated,0.027,-1647.070,-1646.300,-1633.427,-1646.972
496,Spike-and-slab_autocorrelated,14.008,-34315.290,-34092.520,-34009.152,-33942.504
497,Gamma_uncorrelated,16.535,-26389.930,-26259.850,-25387.672,-24882.388
498,GBM_uncorrelated,0.108,-2013.560,-2011.950,-1970.487,-1974.217
499,GBM_uncorrelated,7.150,-19784.020,-19690.310,-18950.022,-18745.112
500,Bimodal_uncorrelated,6.110,-24769.560,-24768.420,-24693.144,-24699.994
501,GBM_uncorrelated,0.024,-1721.720,-1718.660,-1697.185,-1698.177
502,Spike-and-slab_uncorrelated,0.030,-1629.570,-1628.970,-1609.688,-1628.711
503,Bimodal_uncorrelated,3.869,-18674.530,-18673.450,-18621.537,-18566.050
504,Spike-and-slab_autocorrelated,2.640,-14176.560,-14095.990,-13946.229,-13985.262
505,Gamma_uncorrelated,1.101,-7263.760,-7241.550,-6772.989,-6830.575
506,Spike-and-slab_autocorrelated,0.056,-2020.280,-2018.610,-1999.687,-2018.559
507,Bimodal_autocorrelated,0.071,-1945.360,-1945.300,-1921.356,-1942.686
508,Spike-and-slab_autocorrelated,0.359,-3815.860,-3815.160,-3778.771,-3809.473
509,Spike-and-slab_autocorrelated,0.271,-3505.300,-3503.710,-3331.411,-3378.895
510,Bimodal_autocorrelated,0.497,-4679.580,-4677.730,-4442.594,-4404.652
511,Gamma_autocorrelated,0.073,-1856.940,-1856.520,-1798.125,-1797.330
512,Bimodal_uncorrelated,0.046,-1747.330,-1747.320,-1725.112,-1735.153
513,GBM_autocorrelated,0.082,-2092.370,-2092.230,-2069.796,-2085.723
514,GBM_autocorrelated,5.058,-21188.970,-21181.970,-20904.788,-20915.101
515,Gamma_uncorrelated,0.086,-2109.090,-2108.100,-2083.381,-2075.612
516,Spike-and-slab_uncorrelated,2.396,-13185.540,-13087.980,-12795.059,-12843.351
517,Codon_uncorrelated,1.125,-7862.800,-7858.620,-7620.214,-7649.574
518,Bimodal_autocorrelated,0.154,-2289.770,-2289.270,-2221.287,-2200.461
519,GBM_uncorrelated,0.625,-5117.830,-5117.020,-5088.796,-5090.642
520,GBM_autocorrelated,0.055,-1923.260,-1923.020,-1897.078,-1909.815
521,GBM_uncorrelated,0.208,-2946.610,-2924.450,-2737.341,-2771.153
522,Bimodal_autocorrelated,0.442,-4158.990,-4154.690,-4024.083,-4060.280
523,Gamma_autocorrelated,8.921,-22294.950,-22239.390,-21105.072,-21079.235
524,Bimodal_autocorrelated,3.157,-15855.290,-15855.270,-15823.111,-15845.580
525,Bimodal_uncorrelated,0.257,-3388.270,-3388.220,-3328.849,-3360.715
526,GBM_autocorrelated,0.147,-2520.100,-2519.860,-2447.180,-2455.236
527,Gamma_autocorrelated,1.649,-9103.410,-9091.920,-8683.251,-8751.088
528,Codon_uncorrelated,1.763,-10910.870,-10904.000,-10614.776,-10649.706
529,Gamma_autocorrelated,0.049,-1681.490,-1681.350,-1648.584,-1646.062
530,Bimodal_autocorrelated,0.149,-2743.030,-2740.510,-2716.987,-2739.738
531,Gamma_uncorrelated,18.340,-35067.660,-35047.880,-34226.684,-33666.008
532,Bimodal_uncorrelated,0.121,-2370.380,-2370.150,-2323.767,-2338.075
533,Gamma_autocorrelated,18.935,-36572.800,-36595.690,-35956.993,-35526.062
534,mixed_model_mixed_model,0.030,-1712.860,-1710.050,-1695.079,-1728.929
535,Bimodal_autocorrelated,8.795,-29226.640,-29225.660,-29216.616,-29150.126
536,Gamma_autocorrelated,0.075,-1824.040,-1822.980,-1790.262,-1755.355
537,mixed_model_mixed_model,0.034,-1555.620,-1553.830,-1542.609,-1560.607
538,Gamma_autocorrelated,0.027,-1610.800,-1610.570,-1588.262,-1583.795
539,Gamma_autocorrelated,0.115,-2414.200,-2413.210,-2327.368,-2356.073
540,Spike-and-slab_autocorrelated,0.070,-1930.240,-1930.220,-1911.746,-1930.391
541,GBM_autocorrelated,1.212,-8433.550,-8433.490,-8414.060,-8430.777
542,Spike-and-slab_uncorrelated,0.790,-6164.930,-6160.180,-6137.821,-6120.898
543,Bimodal_autocorrelated,9.729,-34716.260,-34714.040,-34538.898,-34469.044
544,GBM_uncorrelated,4.549,-19063.330,-19057.340,-18458.678,-18519.576
545,Gamma_autocorrelated,0.498,-4520.960,-4477.660,-4107.906,-4152.927
546,GBM_autocorrelated,0.728,-5794.330,-5793.930,-5771.644,-5795.693
547,Spike-and-slab_uncorrelated,0.408,-3945.660,-3943.070,-3923.130,-3914.085
548,Bimodal_autocorrelated,1.826,-10985.960,-10981.640,-10795.578,-10835.418
549,Bimodal_uncorrelated,0.027,-1593.460,-1593.350,-1567.102,-1578.400
550,Bimodal_uncorrelated,2.544,-13056.910,-13043.330,-12589.617,-12620.364
551,Spike-and-slab_uncorrelated,3.374,-16897.800,-16819.160,-16733.995,-16668.786
552,Spike-and-slab_uncorrelated,5.061,-22522.910,-22490.300,-22475.222,-22421.762
553,Codon_uncorrelated,0.028,-1664.680,-1664.440,-1647.861,-1654.686
554,Spike-and-slab_uncorrelated,0.126,-2418.300,-2416.610,-2300.641,-2370.126
555,Spike-and-slab_uncorrelated,4.817,-20025.000,-19916.900,-19758.143,-19695.109
556,Gamma_uncorrelated,2.988,-15125.890,-15119.630,-14553.434,-14621.705
557,Bimodal_autocorrelated,0.045,-1617.970,-1617.240,-1598.788,-1608.680
558,Gamma_uncorrelated,0.928,-5575.470,-5427.610,-4951.375,-4937.904
559,GBM_autocorrelated,2.607,-13603.940,-13594.280,-13042.339,-13090.675
560,GBM_uncorrelated,8.215,-13413.200,-13128.410,-12562.632,-12277.677
561,Spike-and-slab_autocorrelated,2.224,-12373.860,-12178.580,-11867.915,-11921.939
562,GBM_uncorrelated,7.394,-27488.940,-27442.730,-27055.716,-26950.208
563,GBM_autocorrelated,0.020,-1564.380,-1564.270,-1553.893,-1564.152
564,Spike-and-slab_uncorrelated,0.625,-5509.250,-5506.330,-5464.729,-5481.078
565,GBM_uncorrelated,1.695,-9918.000,-9910.850,-9424.280,-9483.836
566,GBM_uncorrelated,0.183,-2595.060,-2588.630,-2425.185,-2448.577
567,Gamma_autocorrelated,7.054,-15286.420,-15110.200,-14135.651,-14020.002
568,GBM_autocorrelated,2.366,-12360.560,-12349.110,-11830.119,-11874.617
569,Bimodal_autocorrelated,0.051,-1772.390,-1772.390,-1757.733,-1766.435
570,Gamma_autocorrelated,1.953,-9601.870,-9568.370,-8956.332,-8935.680
571,Codon_uncorrelated,0.083,-1842.560,-1841.250,-1807.984,-1810.501
572,mixed_model_mixed_model,0.019,-1443.630,-1441.920,-1435.050,-1454.618
573,Spike-and-slab_uncorrelated,0.242,-3002.130,-3000.490,-2799.271,-2924.697
574,Gamma_autocorrelated,0.509,-4374.540,-4350.570,-4027.674,-4068.204
575,Bimodal_uncorrelated,0.401,-4238.470,-4237.710,-4122.562,-4058.553
576,Gamma_uncorrelated,3.258,-15552.600,-15523.430,-14764.803,-14829.115
577,mixed_model_mixed_model,13.018,-28849.970,-28240.150,-27538.891,-44466.170
578,Spike-and-slab_autocorrelated,0.459,-4500.460,-4497.760,-4426.435,-4462.900
579,Bimodal_uncorrelated,8.763,-25719.700,-25225.920,-24405.226,-24339.469
580,Bimodal_autocorrelated,4.080,-18460.720,-18460.250,-18165.847,-18184.066
581,GBM_uncorrelated,2.802,-13182.950,-13093.890,-12421.944,-12456.274
582,GBM_uncorrelated,1.082,-6924.010,-6922.060,-6606.538,-6531.469
583,Spike-and-slab_uncorrelated,1.900,-11158.170,-11112.140,-10863.266,-10903.698
584,mixed_model_mixed_model,0.273,-3356.010,-3355.700,-3310.754,-3378.286
585,Codon_uncorrelated,0.581,-5186.970,-5185.830,-4984.518,-4999.648
586,Bimodal_autocorrelated,4.026,-18241.270,-18177.840,-17603.913,-17657.370
587,GBM_autocorrelated,0.047,-1648.240,-1647.000,-1635.552,-1647.836
588,GBM_autocorrelated,0.317,-3650.710,-3650.230,-3583.343,-3602.082
589,Bimodal_autocorrelated,0.381,-4080.020,-4079.880,-3932.755,-3931.975
590,Spike-and-slab_autocorrelated,2.973,-15713.550,-15686.460,-15576.419,-15591.215
591,Gamma_autocorrelated,8.953,-15225.760,-14912.970,-14100.026,-13888.007
592,Bimodal_uncorrelated,16.379,-31094.370,-30167.570,-29765.257,-29473.057
593,Gamma_uncorrelated,0.078,-2071.110,-2064.260,-1926.913,-1981.556
594,Bimodal_autocorrelated,7.013,-25762.410,-25756.530,-25192.169,-25210.792
595,GBM_autocorrelated,0.122,-2365.000,-2364.980,-2309.525,-2340.208
596,Codon_uncorrelated,0.046,-1728.560,-1728.160,-1710.773,-1717.057
597,Gamma_uncorrelated,0.286,-3321.010,-3316.870,-3064.234,-3104.420
598,Spike-and-slab_uncorrelated,1.356,-8830.660,-8763.800,-8385.794,-8582.817
599,GBM_autocorrelated,4.167,-16986.220,-16970.760,-16611.534,-16635.058
